[36mRunning:[0m input.txt
00: seti [123, 0, 3] at [0, 0, 0, 123, 0, 0]
24: addi [1, 1, 1] at [0, 1763, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1763, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1763, 18, 8781753, 11474091, 1764]
19: muli [5, 256, 5] at [0, 1763, 19, 8781753, 11474091, 451584]
20: gtrr [5, 4, 5] at [0, 1763, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1763, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1763, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1764, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1764, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1764, 18, 8781753, 11474091, 1765]
19: muli [5, 256, 5] at [0, 1764, 19, 8781753, 11474091, 451840]
20: gtrr [5, 4, 5] at [0, 1764, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1764, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1764, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1765, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1765, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1765, 18, 8781753, 11474091, 1766]
19: muli [5, 256, 5] at [0, 1765, 19, 8781753, 11474091, 452096]
20: gtrr [5, 4, 5] at [0, 1765, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1765, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1765, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1766, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1766, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1766, 18, 8781753, 11474091, 1767]
19: muli [5, 256, 5] at [0, 1766, 19, 8781753, 11474091, 452352]
20: gtrr [5, 4, 5] at [0, 1766, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1766, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1766, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1767, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1767, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1767, 18, 8781753, 11474091, 1768]
19: muli [5, 256, 5] at [0, 1767, 19, 8781753, 11474091, 452608]
20: gtrr [5, 4, 5] at [0, 1767, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1767, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1767, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1768, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1768, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1768, 18, 8781753, 11474091, 1769]
19: muli [5, 256, 5] at [0, 1768, 19, 8781753, 11474091, 452864]
20: gtrr [5, 4, 5] at [0, 1768, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1768, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1768, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1769, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1769, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1769, 18, 8781753, 11474091, 1770]
19: muli [5, 256, 5] at [0, 1769, 19, 8781753, 11474091, 453120]
20: gtrr [5, 4, 5] at [0, 1769, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1769, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1769, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1770, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1770, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1770, 18, 8781753, 11474091, 1771]
19: muli [5, 256, 5] at [0, 1770, 19, 8781753, 11474091, 453376]
20: gtrr [5, 4, 5] at [0, 1770, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1770, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1770, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1771, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1771, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1771, 18, 8781753, 11474091, 1772]
19: muli [5, 256, 5] at [0, 1771, 19, 8781753, 11474091, 453632]
20: gtrr [5, 4, 5] at [0, 1771, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1771, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1771, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1772, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1772, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1772, 18, 8781753, 11474091, 1773]
19: muli [5, 256, 5] at [0, 1772, 19, 8781753, 11474091, 453888]
20: gtrr [5, 4, 5] at [0, 1772, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1772, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1772, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1773, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1773, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1773, 18, 8781753, 11474091, 1774]
19: muli [5, 256, 5] at [0, 1773, 19, 8781753, 11474091, 454144]
20: gtrr [5, 4, 5] at [0, 1773, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1773, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1773, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1774, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1774, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1774, 18, 8781753, 11474091, 1775]
19: muli [5, 256, 5] at [0, 1774, 19, 8781753, 11474091, 454400]
20: gtrr [5, 4, 5] at [0, 1774, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1774, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1774, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1775, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1775, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1775, 18, 8781753, 11474091, 1776]
19: muli [5, 256, 5] at [0, 1775, 19, 8781753, 11474091, 454656]
20: gtrr [5, 4, 5] at [0, 1775, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1775, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1775, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1776, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1776, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1776, 18, 8781753, 11474091, 1777]
19: muli [5, 256, 5] at [0, 1776, 19, 8781753, 11474091, 454912]
20: gtrr [5, 4, 5] at [0, 1776, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1776, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1776, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1777, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1777, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1777, 18, 8781753, 11474091, 1778]
19: muli [5, 256, 5] at [0, 1777, 19, 8781753, 11474091, 455168]
20: gtrr [5, 4, 5] at [0, 1777, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1777, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1777, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1778, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1778, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1778, 18, 8781753, 11474091, 1779]
19: muli [5, 256, 5] at [0, 1778, 19, 8781753, 11474091, 455424]
20: gtrr [5, 4, 5] at [0, 1778, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1778, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1778, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1779, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1779, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1779, 18, 8781753, 11474091, 1780]
19: muli [5, 256, 5] at [0, 1779, 19, 8781753, 11474091, 455680]
20: gtrr [5, 4, 5] at [0, 1779, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1779, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1779, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1780, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1780, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1780, 18, 8781753, 11474091, 1781]
19: muli [5, 256, 5] at [0, 1780, 19, 8781753, 11474091, 455936]
20: gtrr [5, 4, 5] at [0, 1780, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1780, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1780, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1781, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1781, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1781, 18, 8781753, 11474091, 1782]
19: muli [5, 256, 5] at [0, 1781, 19, 8781753, 11474091, 456192]
20: gtrr [5, 4, 5] at [0, 1781, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1781, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1781, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1782, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1782, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1782, 18, 8781753, 11474091, 1783]
19: muli [5, 256, 5] at [0, 1782, 19, 8781753, 11474091, 456448]
20: gtrr [5, 4, 5] at [0, 1782, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1782, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1782, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1783, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1783, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1783, 18, 8781753, 11474091, 1784]
19: muli [5, 256, 5] at [0, 1783, 19, 8781753, 11474091, 456704]
20: gtrr [5, 4, 5] at [0, 1783, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1783, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1783, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1784, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1784, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1784, 18, 8781753, 11474091, 1785]
19: muli [5, 256, 5] at [0, 1784, 19, 8781753, 11474091, 456960]
20: gtrr [5, 4, 5] at [0, 1784, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1784, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1784, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1785, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1785, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1785, 18, 8781753, 11474091, 1786]
19: muli [5, 256, 5] at [0, 1785, 19, 8781753, 11474091, 457216]
20: gtrr [5, 4, 5] at [0, 1785, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1785, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1785, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1786, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1786, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1786, 18, 8781753, 11474091, 1787]
19: muli [5, 256, 5] at [0, 1786, 19, 8781753, 11474091, 457472]
20: gtrr [5, 4, 5] at [0, 1786, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1786, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1786, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1787, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1787, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1787, 18, 8781753, 11474091, 1788]
19: muli [5, 256, 5] at [0, 1787, 19, 8781753, 11474091, 457728]
20: gtrr [5, 4, 5] at [0, 1787, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1787, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1787, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1788, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1788, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1788, 18, 8781753, 11474091, 1789]
19: muli [5, 256, 5] at [0, 1788, 19, 8781753, 11474091, 457984]
20: gtrr [5, 4, 5] at [0, 1788, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1788, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1788, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1789, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1789, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1789, 18, 8781753, 11474091, 1790]
19: muli [5, 256, 5] at [0, 1789, 19, 8781753, 11474091, 458240]
20: gtrr [5, 4, 5] at [0, 1789, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1789, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1789, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1790, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1790, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1790, 18, 8781753, 11474091, 1791]
19: muli [5, 256, 5] at [0, 1790, 19, 8781753, 11474091, 458496]
20: gtrr [5, 4, 5] at [0, 1790, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1790, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1790, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1791, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1791, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1791, 18, 8781753, 11474091, 1792]
19: muli [5, 256, 5] at [0, 1791, 19, 8781753, 11474091, 458752]
20: gtrr [5, 4, 5] at [0, 1791, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1791, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1791, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1792, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1792, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1792, 18, 8781753, 11474091, 1793]
19: muli [5, 256, 5] at [0, 1792, 19, 8781753, 11474091, 459008]
20: gtrr [5, 4, 5] at [0, 1792, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1792, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1792, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1793, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1793, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1793, 18, 8781753, 11474091, 1794]
19: muli [5, 256, 5] at [0, 1793, 19, 8781753, 11474091, 459264]
20: gtrr [5, 4, 5] at [0, 1793, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1793, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1793, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1794, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1794, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1794, 18, 8781753, 11474091, 1795]
19: muli [5, 256, 5] at [0, 1794, 19, 8781753, 11474091, 459520]
20: gtrr [5, 4, 5] at [0, 1794, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1794, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1794, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1795, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1795, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1795, 18, 8781753, 11474091, 1796]
19: muli [5, 256, 5] at [0, 1795, 19, 8781753, 11474091, 459776]
20: gtrr [5, 4, 5] at [0, 1795, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1795, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1795, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1796, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1796, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1796, 18, 8781753, 11474091, 1797]
19: muli [5, 256, 5] at [0, 1796, 19, 8781753, 11474091, 460032]
20: gtrr [5, 4, 5] at [0, 1796, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1796, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1796, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1797, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1797, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1797, 18, 8781753, 11474091, 1798]
19: muli [5, 256, 5] at [0, 1797, 19, 8781753, 11474091, 460288]
20: gtrr [5, 4, 5] at [0, 1797, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1797, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1797, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1798, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1798, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1798, 18, 8781753, 11474091, 1799]
19: muli [5, 256, 5] at [0, 1798, 19, 8781753, 11474091, 460544]
20: gtrr [5, 4, 5] at [0, 1798, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1798, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1798, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1799, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1799, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1799, 18, 8781753, 11474091, 1800]
19: muli [5, 256, 5] at [0, 1799, 19, 8781753, 11474091, 460800]
20: gtrr [5, 4, 5] at [0, 1799, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1799, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1799, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1800, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1800, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1800, 18, 8781753, 11474091, 1801]
19: muli [5, 256, 5] at [0, 1800, 19, 8781753, 11474091, 461056]
20: gtrr [5, 4, 5] at [0, 1800, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1800, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1800, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1801, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1801, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1801, 18, 8781753, 11474091, 1802]
19: muli [5, 256, 5] at [0, 1801, 19, 8781753, 11474091, 461312]
20: gtrr [5, 4, 5] at [0, 1801, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1801, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1801, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1802, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1802, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1802, 18, 8781753, 11474091, 1803]
19: muli [5, 256, 5] at [0, 1802, 19, 8781753, 11474091, 461568]
20: gtrr [5, 4, 5] at [0, 1802, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1802, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1802, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1803, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1803, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1803, 18, 8781753, 11474091, 1804]
19: muli [5, 256, 5] at [0, 1803, 19, 8781753, 11474091, 461824]
20: gtrr [5, 4, 5] at [0, 1803, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1803, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1803, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1804, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1804, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1804, 18, 8781753, 11474091, 1805]
19: muli [5, 256, 5] at [0, 1804, 19, 8781753, 11474091, 462080]
20: gtrr [5, 4, 5] at [0, 1804, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1804, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1804, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1805, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1805, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1805, 18, 8781753, 11474091, 1806]
19: muli [5, 256, 5] at [0, 1805, 19, 8781753, 11474091, 462336]
20: gtrr [5, 4, 5] at [0, 1805, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1805, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1805, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1806, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1806, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1806, 18, 8781753, 11474091, 1807]
19: muli [5, 256, 5] at [0, 1806, 19, 8781753, 11474091, 462592]
20: gtrr [5, 4, 5] at [0, 1806, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1806, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1806, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1807, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1807, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1807, 18, 8781753, 11474091, 1808]
19: muli [5, 256, 5] at [0, 1807, 19, 8781753, 11474091, 462848]
20: gtrr [5, 4, 5] at [0, 1807, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1807, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1807, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1808, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1808, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1808, 18, 8781753, 11474091, 1809]
19: muli [5, 256, 5] at [0, 1808, 19, 8781753, 11474091, 463104]
20: gtrr [5, 4, 5] at [0, 1808, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1808, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1808, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1809, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1809, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1809, 18, 8781753, 11474091, 1810]
19: muli [5, 256, 5] at [0, 1809, 19, 8781753, 11474091, 463360]
20: gtrr [5, 4, 5] at [0, 1809, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1809, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1809, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1810, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1810, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1810, 18, 8781753, 11474091, 1811]
19: muli [5, 256, 5] at [0, 1810, 19, 8781753, 11474091, 463616]
20: gtrr [5, 4, 5] at [0, 1810, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1810, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1810, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1811, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1811, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1811, 18, 8781753, 11474091, 1812]
19: muli [5, 256, 5] at [0, 1811, 19, 8781753, 11474091, 463872]
20: gtrr [5, 4, 5] at [0, 1811, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1811, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1811, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1812, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1812, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1812, 18, 8781753, 11474091, 1813]
19: muli [5, 256, 5] at [0, 1812, 19, 8781753, 11474091, 464128]
20: gtrr [5, 4, 5] at [0, 1812, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1812, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1812, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1813, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1813, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1813, 18, 8781753, 11474091, 1814]
19: muli [5, 256, 5] at [0, 1813, 19, 8781753, 11474091, 464384]
20: gtrr [5, 4, 5] at [0, 1813, 20, 8781753, 11474091, 0]
21: addr [5, 2, 2] at [0, 1813, 21, 8781753, 11474091, 0]
22: addi [2, 1, 2] at [0, 1813, 23, 8781753, 11474091, 0]
24: addi [1, 1, 1] at [0, 1814, 24, 8781753, 11474091, 0]
25: seti [17, 2, 2] at [0, 1814, 17, 8781753, 11474091, 0]
18: addi [1, 1, 5] at [0, 1814, 18, 8781753, 11474091, 1815]
19: muli [5, 256, 5] at [0, 1814, 19, 8781753, 11474091, 464640]
